sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45
1,0.927,1,-0.266216,-0.177154,-22.4062,11.9728,-0.06784,-0.03653,0.043,1.436,-0.407792,-0.000227555,0.00107148,0.0144206,-0.00189664,-0.00255773,0.0256726,-0.00258378,-0.00565437,0.0156111,-0.000986908,-0.00279477,0.000223986,-0.00144389,-0.00965039,-0.00445715,0.000123783,-0.00136449,-0.000026,-0.00155579,0.00205171,0.0100551,-0.0014523,0.000959061,0.00620011,0.0054376,-0.00369286,-0.00229685,-0.00186227,0.00414255,-0.00212156,0.00102934,0.00170245,0.00337154,0.00103048,0.00148829,-0.00771162,-0.000861758,0.0012353,-0.00310992,-0.00288847,0.000135212,0.000994567,-0.00237674,0.00232658
1,0.927,2,-20.6937,20.2679,-42.8337,32.4179,-0.13072,-0.09842,0.052,0.589,-0.366883,-0.000565838,0.000914208,0.034865,0.00403167,0.00212872,0.0255184,-0.0130841,-0.00695592,0.0157659,0.00110495,-0.00109437,0.000172695,0.000487087,-0.00874511,-0.00301525,-0.000890798,0.000620195,0.00161488,-0.00272239,0.00517463,0.00852928,-0.00235221,0.000269891,0.00555408,0.00413956,-0.00566033,-0.00004,0.000544048,0.00333751,-0.00327659,-0.000093,0.000158854,0.00135214,-0.00123334,0.00235169,-0.0069114,-0.00104875,0.00142317,-0.00201273,-0.00175198,-0.0011558,0.00152606,-0.00106331,0.00139228
1,0.927,3,-20.7098,-20.6114,-42.8498,-8.46139,-0.13003,0.02435,0.045,5.62,-23.5761,-0.000422203,0.00084109,-0.00183509,-0.00582425,-0.00556092,0.0221266,-0.00683859,-0.00786868,0.0198723,-0.00450496,0.00132971,0.00108727,-0.00130859,-0.0102713,-0.00442503,0.00316789,0.00156122,0.00181232,-0.00193,0.00316223,0.0110644,-0.00196853,0.000403593,0.0072485,0.00537201,-0.0044523,-0.00237062,-0.00187363,0.00342185,-0.00420049,-0.000014,0.00284582,0.00261171,-0.0014815,0.00177592,-0.00762975,-0.00260192,0.00158376,-0.00151066,-0.00119156,0.000343335,0.000065,-0.000948929,0.00187879
1,0.927,4,20.1598,-20.6221,-1.98017,-8.47214,-0.0052,0.02475,0.042,2.613,-10.6818,0.000091,0.000973602,-0.00214107,-0.00276868,-0.0110924,0.0236281,0.00306664,-0.0111989,0.0156994,-0.00099909,0.00210888,0.00155323,-0.00329519,-0.00537661,-0.00420471,0.00194354,0.000269893,-0.000156438,-0.00226259,0.00339417,0.00845018,-0.00304578,-0.000609627,0.00449412,0.00554113,-0.00466118,-0.00115749,0.000599376,0.00402448,-0.00287759,-0.000336255,0.00179931,0.00263316,-0.000659895,0.00106813,-0.00649214,-0.0013866,0.0018717,-0.00216805,-0.00132907,-0.000636497,0.000780099,-0.000600336,0.00146021
1,0.927,5,20.1769,20.2528,-1.96307,32.4028,-0.00522,-0.0981,0.054,0.552,-1.11304,-0.00008,0.00129567,0.0389605,0.000121812,-0.00182714,0.0288908,0.00349487,-0.00431989,0.014576,0.000566161,-0.000970735,0.00223576,0.000123514,-0.00994401,-0.00540722,0.000229,-0.000401435,0.000457012,-0.000385942,0.00134519,0.00939173,-0.00353716,0.000565235,0.00712651,0.0040981,-0.00524633,-0.000821653,-0.00126151,0.00420716,-0.00245666,-0.000156084,0.00217092,0.00211173,0.00131654,0.00179023,-0.00804297,-0.000752002,0.00190521,-0.00280327,-0.00186927,0.000534245,0.0016331,-0.00162943,0.00153772
1,1.06,1,-0.266369,-0.177076,-22.4064,11.9729,-0.06784,-0.03653,0.037,1.256,-0.357847,-0.000198235,0.00092973,0.0121439,-0.00165377,-0.00225064,0.0224624,-0.00226516,-0.00495188,0.0136459,-0.000866509,-0.00243163,0.000194316,-0.00126855,-0.00843838,-0.00389787,0.000109017,-0.00119357,-0.000024,-0.00136109,0.00179416,0.00879421,-0.00127062,0.000837507,0.00542232,0.00475463,-0.00322951,-0.00200866,-0.00162938,0.0036228,-0.00185581,0.000900146,0.00148884,0.0029485,0.00090118,0.00130155,-0.00674498,-0.000752923,0.00108095,-0.0027197,-0.00252605,0.000118244,0.000869774,-0.00207853,0.00203466
1,1.06,2,-20.694,20.2681,-42.834,32.4181,-0.13072,-0.09842,0.045,0.516,-0.322119,-0.00049315,0.000793108,0.0300248,0.003516,0.00184544,0.0223247,-0.011452,-0.00609097,0.0137809,0.000962858,-0.000944672,0.000149583,0.000420202,-0.00764663,-0.00263684,-0.000778287,0.000542249,0.00141102,-0.00238126,0.00452526,0.0074599,-0.00205755,0.000234745,0.00485737,0.00361944,-0.00495013,-0.000035,0.000475148,0.00291877,-0.00286604,-0.000082,0.000138916,0.00118248,-0.0010786,0.00205662,-0.00604522,-0.000916512,0.00124518,-0.00176019,-0.00153216,-0.00101077,0.00133458,-0.000929899,0.00121759
1,1.06,3,-20.71,-20.6114,-42.85,-8.46145,-0.13003,0.02435,0.039,4.914,-20.6192,-0.000367142,0.000726697,-0.00210581,-0.00508023,-0.00488615,0.0193643,-0.00599018,-0.00688765,0.0173721,-0.00394335,0.00117558,0.000949472,-0.00115032,-0.0089812,-0.00386961,0.00277107,0.00136513,0.0015835,-0.00168837,0.00276531,0.00967663,-0.00172184,0.000351756,0.00633919,0.00469728,-0.00389366,-0.00207319,-0.00163963,0.0029927,-0.00367392,-0.000012,0.00248873,0.00228401,-0.00129564,0.00155307,-0.00667347,-0.00227472,0.00138574,-0.00132111,-0.00104204,0.000300245,0.000057,-0.000829889,0.00164305
1,1.06,4,20.1598,-20.6222,-1.98019,-8.4722,-0.0052,0.02475,0.037,2.285,-9.34278,0.00008,0.000842836,-0.00235661,-0.00241221,-0.00971212,0.0206772,0.00268023,-0.00980003,0.0137234,-0.000877249,0.00185695,0.00135666,-0.00288772,-0.00470089,-0.00367714,0.00170042,0.00023562,-0.000138121,-0.00197926,0.00296816,0.00739052,-0.00266418,-0.00053426,0.00393035,0.00484517,-0.00407633,-0.00101225,0.00052323,0.00351958,-0.00251685,-0.000294098,0.00157354,0.00230276,-0.000577092,0.000934105,-0.00567852,-0.00121185,0.00163757,-0.00189602,-0.00116231,-0.000556634,0.00068222,-0.000525007,0.00127699
1,1.06,5,20.1769,20.253,-1.96309,32.403,-0.00522,-0.0981,0.047,0.481,-0.974723,-0.00007,0.00112683,0.0336233,0.00011354,-0.00160261,0.0252737,0.0030549,-0.00378557,0.0127409,0.000491759,-0.0008366,0.00195352,0.000102214,-0.00869532,-0.00472882,0.000201041,-0.000351448,0.000398503,-0.000338041,0.00117633,0.00821423,-0.00309403,0.000493081,0.00623244,0.0035832,-0.00458807,-0.000718556,-0.00110373,0.00367917,-0.00214885,-0.000136416,0.00189853,0.00184677,0.00115135,0.0015656,-0.00703469,-0.00065693,0.00166674,-0.00245154,-0.00163473,0.000467213,0.00142819,-0.00142498,0.00134478
