sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45
1,1.38,1,-0.263395,-0.175216,-22.4034,11.9748,-0.06784,-0.03653,0.031,0.954,-0.119949,-0.000137745,0.000721777,0.00447153,-0.00074121,-0.0032972,0.0211273,-0.00190098,-0.00743648,0.0104747,-0.00118026,-0.000606916,0.000592531,-0.00150367,-0.00651063,-0.00302731,0.000101265,-0.00093096,0.000064,-0.00115159,0.00134564,0.00676936,-0.000977521,0.000699662,0.00411769,0.00372582,-0.00248115,-0.00154322,-0.00108127,0.00277711,-0.00130157,0.000618749,0.00114369,0.00226461,0.000692729,0.000998649,-0.00525144,-0.000634077,0.000837217,-0.00209002,-0.00193974,0.000091,0.000667996,-0.0015967,0.00156265
1,1.38,2,-20.6913,20.2703,-42.8313,32.4203,-0.13072,-0.09842,0.036,0.372,-0.111734,-0.000350317,0.000571396,0.0180562,0.00317411,0.000220071,0.021047,-0.00900819,-0.00838314,0.0105576,0.000217862,0.000509146,0.000519491,-0.000164849,-0.00592138,-0.00204585,-0.000581196,0.000403572,0.00117632,-0.00194668,0.00343984,0.00571921,-0.00162126,0.000242276,0.0036791,0.00286843,-0.003803,-0.000027,0.000536068,0.0022525,-0.00207514,-0.000127686,0.000107003,0.000907407,-0.000828531,0.00157865,-0.00472235,-0.000766422,0.000956465,-0.00135397,-0.00117656,-0.000776443,0.00102482,-0.000714434,0.000935336
1,1.38,3,-20.7074,-20.61,-42.8474,-8.45996,-0.13003,0.02435,0.034,3.691,-15.6582,-0.000249767,0.000557126,-0.00632624,-0.0034248,-0.00556682,0.0187363,-0.00479855,-0.00889335,0.0132517,-0.00359277,0.0021864,0.00119393,-0.00143425,-0.00692786,-0.00301433,0.00216722,0.00101009,0.0013327,-0.0014059,0.00212738,0.00743741,-0.00131679,0.000293344,0.00483417,0.00367564,-0.00296563,-0.00157777,-0.00107672,0.00229005,-0.00267454,-0.000093,0.0019376,0.00175916,-0.000978976,0.00121232,-0.00524666,-0.00184012,0.00110146,-0.00102109,-0.000767598,0.000246412,0.00007,-0.000608295,0.00127074
1,1.38,4,20.1631,-20.6207,-1.97687,-8.4707,-0.0052,0.02475,0.033,1.675,-7.00056,0.000072,0.000647388,-0.00657158,-0.00128681,-0.00937869,0.0197696,0.0019593,-0.0111,0.0105443,-0.00118628,0.00272092,0.00152871,-0.00279249,-0.00362222,-0.00285955,0.00133747,0.000157342,-0.000022,-0.00161909,0.00224984,0.00571376,-0.00201006,-0.000361474,0.0029746,0.00378195,-0.00313114,-0.000777715,0.000576429,0.00268915,-0.00180774,-0.00030829,0.00120867,0.00176834,-0.000443106,0.000716507,-0.00442516,-0.000980568,0.00127138,-0.00145622,-0.000892277,-0.000427707,0.000523915,-0.000403325,0.000980752
1,1.38,5,20.1803,20.2552,-1.95974,32.4052,-0.00522,-0.0981,0.036,0.326,-0.618398,-0.000048,0.000854312,0.0207607,0.000725493,-0.00255939,0.023331,0.00220155,-0.00656578,0.00984895,-0.000132061,0.00058137,0.00194589,-0.000434995,-0.00668681,-0.00367375,0.000162877,-0.000272495,0.000382295,-0.000357334,0.00086192,0.00631659,-0.00236338,0.000439645,0.004757,0.00282711,-0.00352461,-0.000551932,-0.000679471,0.00280121,-0.00152645,-0.000179095,0.00145862,0.00141883,0.00088434,0.00120176,-0.00546033,-0.000550457,0.00127969,-0.00188398,-0.00125602,0.000358569,0.00109695,-0.00109455,0.00103273
1,1.577,1,-0.263616,-0.175115,-22.4036,11.9749,-0.06784,-0.03653,0.028,0.835,-0.106754,-0.000119918,0.000625011,0.00351435,-0.000646497,-0.00289102,0.0184807,-0.00166792,-0.00649754,0.00916023,-0.00103368,-0.000525295,0.000515062,-0.00131882,-0.00569613,-0.00264896,0.000089,-0.000814855,0.000055,-0.00100773,0.00117758,0.00592433,-0.00085589,0.000610882,0.00360365,0.00325941,-0.00217121,-0.00135044,-0.000947684,0.00243024,-0.00113995,0.00054174,0.00100082,0.00198171,0.000606192,0.000873899,-0.00459599,-0.000553963,0.000733188,-0.00182893,-0.00169742,0.000079,0.000584549,-0.00139723,0.00136745
1,1.577,2,-20.6917,20.2706,-42.8317,32.4206,-0.13072,-0.09842,0.031,0.326,-0.0995233,-0.000305171,0.000494439,0.0154043,0.00276639,0.000182986,0.0184077,-0.00789077,-0.00732641,0.00923255,0.000189812,0.000451387,0.000451441,-0.000147371,-0.00518034,-0.00179012,-0.000507984,0.000353097,0.00102782,-0.00170339,0.0030102,0.00500555,-0.00141899,0.00021055,0.0032199,0.00250904,-0.00332793,-0.000024,0.000467743,0.00197109,-0.001817,-0.000111492,0.000094,0.000794051,-0.000725032,0.00138144,-0.004133,-0.0006698,0.000837517,-0.00118482,-0.00102958,-0.000679446,0.000896796,-0.000625184,0.000818491
1,1.577,3,-20.7079,-20.61,-42.8479,-8.46004,-0.13003,0.02435,0.03,3.23,-13.7041,-0.000216986,0.000479598,-0.00596628,-0.00298683,-0.00488451,0.0163912,-0.00420721,-0.00777183,0.0115904,-0.00314493,0.00191909,0.00104152,-0.00125807,-0.00606096,-0.0026375,0.00189696,0.000883834,0.00116448,-0.00123025,0.00186157,0.0065087,-0.0011525,0.000255399,0.00423075,0.00321551,-0.00259515,-0.00138068,-0.000944,0.00200408,-0.00234143,-0.000081,0.00169556,0.00153939,-0.000856683,0.00106088,-0.00459182,-0.00160929,0.000964455,-0.000893525,-0.000671707,0.000215631,0.000061,-0.000532299,0.001112
1,1.577,4,20.1631,-20.6208,-1.97691,-8.47078,-0.0052,0.02475,0.029,1.466,-6.12792,0.000063,0.000558782,-0.0061651,-0.00112024,-0.00820901,0.0172951,0.00171349,-0.00970306,0.0092214,-0.00103903,0.00238686,0.00133399,-0.00244656,-0.00316867,-0.00250218,0.00117093,0.000137413,-0.000021,-0.00141691,0.0019688,0.00500039,-0.00175964,-0.000317571,0.00260331,0.00330859,-0.00274,-0.000680561,0.000502769,0.00235333,-0.00158278,-0.000269439,0.00105769,0.00154743,-0.000387753,0.000627001,-0.00387297,-0.000857133,0.00111315,-0.0012743,-0.000780814,-0.000374276,0.00045847,-0.000352942,0.000858236
1,1.577,5,20.1802,20.2555,-1.95978,32.4055,-0.00522,-0.0981,0.032,0.284,-0.542934,-0.000042,0.000742009,0.0177869,0.000638406,-0.00223804,0.0204061,0.00192583,-0.00573616,0.0086126,-0.000116367,0.000514585,0.00169922,-0.000383683,-0.00585053,-0.00321468,0.000143206,-0.000238795,0.000333118,-0.000312737,0.000754365,0.0055283,-0.00206883,0.000383313,0.00416298,0.00247296,-0.00308432,-0.000482982,-0.000595818,0.00245129,-0.00133672,-0.000156309,0.0012764,0.00124159,0.000773866,0.00105163,-0.00477877,-0.000480826,0.00112037,-0.00164862,-0.00109912,0.000313777,0.00095992,-0.000957813,0.000903724
