sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45
1,1.95,1,-0.268532,-0.174169,-22.4085,11.9758,-0.06784,-0.03653,0.021,0.68,-0.161317,-0.000112418,0.000290867,-0.000961679,-0.000758743,0.000536122,0.0139493,-0.00117051,-0.00169912,0.00386721,-0.00216228,0.00319956,0.000483268,-0.00154213,-0.00441555,-0.00211499,0.000165714,-0.00068135,-0.000191373,-0.000814081,0.000958468,0.00488439,-0.000767394,0.000279425,0.00296729,0.00248298,-0.0017561,-0.00109248,-0.000999754,0.0019735,-0.00107285,0.000482566,0.000809117,0.00160195,0.000490101,0.000706905,-0.00380612,-0.000306421,0.000679582,-0.0014781,-0.00137294,0.000064,0.000472648,-0.00112985,0.001106
1,1.95,2,-20.697,20.272,-42.837,32.422,-0.13072,-0.09842,0.022,0.261,-0.13459,-0.000272051,0.000236943,0.00870414,0.00166287,0.00283379,0.0141581,-0.00632001,-0.00262005,0.00379592,-0.00114383,0.00395953,0.00047322,-0.000627657,-0.00396416,-0.00142191,-0.000324102,0.000289305,0.000602257,-0.00136021,0.00244538,0.00417165,-0.00118819,-0.000057,0.00266528,0.00186265,-0.00269239,-0.00002,0.000166112,0.00159126,-0.00163916,-0.000052,0.000075,0.000641704,-0.000586322,0.00111724,-0.00342884,-0.000403184,0.000760593,-0.000956707,-0.000832422,-0.000549365,0.000725256,-0.000505566,0.000661988
1,1.95,3,-20.7131,-20.6095,-42.8531,-8.45952,-0.13003,0.02435,0.024,2.666,-11.1852,-0.000200927,0.000127129,-0.00893177,-0.00250239,-0.00060319,0.0119447,-0.00331687,-0.0025049,0.00562293,-0.00393336,0.00525502,0.000944484,-0.00147865,-0.00466061,-0.00209682,0.00160454,0.000725223,0.000663955,-0.000982694,0.00150184,0.005316,-0.000973708,0.000003,0.00349109,0.00245787,-0.00208984,-0.00111501,-0.00104984,0.00163011,-0.00205453,-0.000039,0.00137541,0.00124975,-0.000685986,0.000854439,-0.00381421,-0.00115232,0.000862602,-0.000713624,-0.000545893,0.000176374,0.000057,-0.000437801,0.000902037
1,1.95,4,20.1586,-20.6203,-1.98144,-8.47027,-0.0052,0.02475,0.023,1.239,-5.05377,0.00003,0.000191544,-0.00890929,-0.000838093,-0.00347109,0.0127059,0.00167164,-0.00404253,0.00401419,-0.00220979,0.0056179,0.00110931,-0.00243248,-0.00239215,-0.00200037,0.00103319,0.00007,-0.000267111,-0.00115742,0.00159377,0.00410454,-0.00152986,-0.000452361,0.00215281,0.00253249,-0.00221586,-0.000550401,0.000147847,0.00192154,-0.00141374,-0.000165567,0.000855601,0.00125114,-0.000313663,0.000507295,-0.00322546,-0.000546484,0.000991413,-0.00103061,-0.000631606,-0.000302563,0.000370668,-0.000285321,0.000694257
1,1.95,5,20.1757,20.2569,-1.96435,32.4069,-0.00522,-0.0981,0.023,0.228,-0.490525,-0.000048,0.00042927,0.0108013,0.000166623,0.000691803,0.0157783,0.00182913,-0.00129174,0.00361183,-0.00138706,0.00399129,0.00140634,-0.000796831,-0.00459315,-0.00257767,0.000210953,-0.00024769,0.000059,-0.000259173,0.000628383,0.00459251,-0.00177963,0.00009,0.00340197,0.0018459,-0.00249472,-0.00039033,-0.000674148,0.00198413,-0.00122991,-0.000062,0.00103153,0.00100365,0.000625823,0.000850521,-0.00395214,-0.000253154,0.000990135,-0.00133244,-0.000888557,0.000253847,0.000776214,-0.000774555,0.000730874
1,2.125,1,-0.268766,-0.174057,-22.4088,11.9759,-0.06784,-0.03653,0.019,0.624,-0.149105,-0.000102577,0.000262659,-0.00118859,-0.000693164,0.000471571,0.0127997,-0.00107883,-0.00157005,0.00356293,-0.00197774,0.00292131,0.000440189,-0.00141508,-0.00405194,-0.00194081,0.000152089,-0.000625277,-0.000175642,-0.000747041,0.000879535,0.00448216,-0.000704196,0.000256413,0.00272293,0.0022785,-0.00161148,-0.00100251,-0.000917411,0.00181098,-0.000984497,0.000442826,0.000742484,0.00147002,0.00044974,0.000648689,-0.00349266,-0.000281188,0.000623617,-0.00135638,-0.00125987,0.000059,0.000433724,-0.0010368,0.00101492
1,2.125,2,-20.6975,20.2723,-42.8375,32.4223,-0.13072,-0.09842,0.02,0.24,-0.124656,-0.00024839,0.000213741,0.00768291,0.0015196,0.00257778,0.0129876,-0.00580655,-0.00241417,0.003498,-0.00104332,0.0036189,0.000430994,-0.000575853,-0.00363779,-0.00130482,-0.000297368,0.000265411,0.000552584,-0.00124819,0.002244,0.0038281,-0.00109034,-0.000052,0.00244578,0.00170925,-0.00247067,-0.000018,0.000152434,0.0014602,-0.00150417,-0.000048,0.000069,0.000588858,-0.000538037,0.00102523,-0.00314647,-0.000369987,0.000697957,-0.000877918,-0.000763871,-0.000504122,0.000665527,-0.00046393,0.000607469
1,2.125,3,-20.7135,-20.6096,-42.8535,-8.45962,-0.13003,0.02435,0.022,2.446,-10.2651,-0.00018305,0.000111471,-0.00852754,-0.00228725,-0.000582709,0.0109643,-0.0030511,-0.00231022,0.00517521,-0.00360272,0.00480706,0.000863304,-0.00135686,-0.00427688,-0.00192414,0.0014724,0.000665456,0.000609279,-0.000901766,0.00137816,0.00487818,-0.00089349,0.000003,0.00320364,0.00225542,-0.00191773,-0.00102318,-0.000963422,0.00149589,-0.00188533,-0.000036,0.00126209,0.00114681,-0.0006295,0.000784077,-0.0035001,-0.0010574,0.00079161,-0.000654836,-0.00050097,0.000161888,0.000052,-0.000401741,0.000827757
1,2.125,4,20.1585,-20.6204,-1.98146,-8.47036,-0.0052,0.02475,0.021,1.137,-4.6386,0.000028,0.000170821,-0.00849454,-0.000764527,-0.00320404,0.0116624,0.00153152,-0.00372148,0.00369747,-0.00202119,0.00514018,0.00101462,-0.00223217,-0.00219517,-0.00183563,0.000948094,0.000064,-0.000245093,-0.0010621,0.00146252,0.00376652,-0.00140387,-0.000415109,0.00197551,0.00232393,-0.00203339,-0.000505077,0.000135675,0.0017633,-0.00129731,-0.000151931,0.000785144,0.00114811,-0.000287826,0.000465522,-0.00295984,-0.000501484,0.000909777,-0.000945739,-0.000579589,-0.000277645,0.000340144,-0.00026183,0.000637079
1,2.125,5,20.1756,20.2572,-1.96437,32.4072,-0.00522,-0.0981,0.021,0.209,-0.451326,-0.000044,0.000390266,0.00961985,0.000157843,0.000622642,0.014474,0.00167643,-0.00119555,0.00332748,-0.00126651,0.00364814,0.00128731,-0.000731134,-0.00421483,-0.0023654,0.000193635,-0.000227285,0.000054,-0.00023783,0.000576633,0.00421431,-0.00163307,0.000083,0.00312181,0.00169388,-0.00228927,-0.000358185,-0.000618624,0.00182073,-0.00112862,-0.000057,0.000946581,0.000921,0.000574285,0.000780478,-0.00362667,-0.000232309,0.000908595,-0.00122271,-0.00081538,0.000232942,0.000712289,-0.000710767,0.000670685
