sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45
1,0.75,1,-0.498134,1.1358,-22.6381,13.2858,-0.06784,-0.03653,0.103,1.265,1.95311,-0.000894838,0.00155275,0.0832935,0.0222247,-0.0466657,0.00415001,-0.0119386,-0.0257768,0.0272305,-0.00308556,-0.00412928,-0.00484331,0.00937897,-0.00843888,-0.00717409,0.0029719,-0.00212326,-0.0012897,-0.00117009,0.00214681,0.0107016,-0.00242748,0.00460479,0.00559641,0.00175431,-0.00472785,-0.00329416,-0.0022881,0.00643567,-0.00275447,0.00311368,0.0022293,0.00548329,0.00128511,0.00246479,-0.00842672,-0.00314667,0.0016188,-0.000651582,-0.00292842,-0.000251491,0.00162831,-0.00161073,0.00307107
1,0.75,2,-21.0859,21.6877,-43.2259,33.8377,-0.13072,-0.09842,0.132,1.29,1.63385,-0.00221824,-0.000193915,0.106864,0.064053,-0.034386,0.0048861,-0.027101,-0.0287592,0.023092,-0.00110783,-0.00184579,-0.00542703,0.0118672,-0.00683594,-0.00536718,0.00203184,0.000186795,0.000486192,-0.00242859,0.00650777,0.00863643,-0.00355296,0.00363645,0.00479274,0.000018,-0.00724269,-0.0003794,0.000311713,0.00532469,-0.00374348,0.00127869,-0.000137376,0.00273636,-0.00158945,0.00333659,-0.00747986,-0.00320416,0.00167441,0.000844527,-0.00147274,-0.00158894,0.00235943,0.000049,0.00183071
1,0.75,3,-21.1041,-19.4167,-43.2441,-7.26668,-0.13003,0.02435,0.086,8.332,-34.5308,-0.00213778,0.000733641,0.0633948,0.0207577,-0.0308962,0.00044796,-0.020641,-0.0272997,0.0309206,-0.00655186,0.000538622,-0.00435091,0.00966702,-0.00940297,-0.00730534,0.00709179,0.00139505,0.00169542,-0.00132606,0.00375525,0.0120451,-0.00308874,0.00340577,0.00693115,0.00176926,-0.00580029,-0.00328599,-0.00182004,0.00546966,-0.00593027,0.00160948,0.0040978,0.00388259,-0.00212864,0.00219644,-0.00792143,-0.00527694,0.00204999,0.00172709,-0.000890054,0.000272168,0.000295272,0.000750734,0.00266356
1,0.75,4,20.0993,-19.4254,-2.04068,-7.27537,-0.0052,0.02475,0.096,3.939,-15.729,-0.000212093,0.00196992,0.0622948,0.00280357,-0.0585144,0.00174577,-0.00243305,-0.0318955,0.0304447,-0.00261182,0.00150283,-0.00303173,0.00712866,-0.00342698,-0.00694661,0.00532903,-0.000131399,-0.00148757,-0.00231131,0.0035408,0.00885771,-0.00459506,0.00245649,0.00361528,0.00215936,-0.00598021,-0.002157,0.00125109,0.00633176,-0.00428478,0.00154047,0.00296636,0.00471954,-0.00100273,0.00193744,-0.006999,-0.00413649,0.00235695,0.000321016,-0.000891569,-0.00156611,0.00115293,0.00045968,0.00183068
1,0.75,5,20.1104,21.6931,-2.02961,33.8431,-0.00522,-0.0981,0.124,1.576,2.64134,-0.000306994,0.00186113,0.10779,0.0105602,-0.0584494,0.00872846,-0.00143566,-0.0257314,0.0285206,-0.00159742,-0.00190476,-0.00186668,0.0117998,-0.0086201,-0.00823406,0.00332917,-0.000868066,-0.00152573,-0.000328546,0.00153828,0.00968099,-0.00484892,0.00424247,0.00679177,0.000660862,-0.00661919,-0.00175289,-0.00169808,0.00668054,-0.00262439,0.00171016,0.00284893,0.00433402,0.0018001,0.00285912,-0.00900976,-0.00336775,0.00248815,-0.000266803,-0.00175705,-0.000354585,0.00245393,-0.000605913,0.00193575
1,0.8,1,-0.499191,0.917891,-22.6392,13.0679,-0.06784,-0.03653,0.089,1.167,1.85183,-0.000889648,0.00138816,0.0754282,0.0150016,-0.0326464,0.00492511,-0.0111811,-0.0241407,0.0254947,-0.00287117,-0.00385834,-0.00451495,0.00874461,-0.00791553,-0.00671736,0.00278431,-0.00198962,-0.00120994,-0.00110149,0.00201221,0.0100462,-0.0022792,0.00429678,0.00525735,0.00166036,-0.00443367,-0.00308666,-0.00214179,0.00602936,-0.00258654,0.00291256,0.00208857,0.00513437,0.00120452,0.00230933,-0.0078924,-0.0029492,0.00151241,-0.000621947,-0.00274444,-0.00023381,0.00152383,-0.00151368,0.00287936
1,0.8,2,-21.0879,21.4718,-43.2279,33.6218,-0.13072,-0.09842,0.111,1.169,1.54574,-0.00209188,-0.000082,0.0944547,0.0477393,-0.015059,0.0055791,-0.0254157,-0.0269239,0.0216431,-0.00101721,-0.00172254,-0.00505985,0.0110771,-0.00641735,-0.00502381,0.00189696,0.000177605,0.000455806,-0.00228029,0.00609958,0.00810919,-0.00333791,0.00338991,0.00450241,0.000032,-0.00678954,-0.000354222,0.000292161,0.00498765,-0.00351517,0.00119406,-0.000128638,0.00256159,-0.00149172,0.00312574,-0.0070094,-0.00300254,0.00156178,0.000778375,-0.00138124,-0.0014874,0.00220963,0.000042,0.00171738
1,0.8,3,-21.1068,-19.638,-43.2468,-7.48804,-0.13003,0.02435,0.077,7.779,-32.3527,-0.00206166,0.00083527,0.0596254,0.00753564,-0.0239263,0.00150936,-0.0193557,-0.0255881,0.0289637,-0.00611732,0.000516369,-0.0040527,0.00900956,-0.00881745,-0.00683826,0.00664113,0.0013082,0.0015837,-0.00125192,0.00351819,0.0113021,-0.00290551,0.00317587,0.00650554,0.00166799,-0.0054339,-0.00307697,-0.00170599,0.00513046,-0.00556122,0.00149968,0.00384064,0.00363625,-0.00199258,0.0020715,-0.00741091,-0.00494962,0.00190818,0.00159995,-0.000832622,0.000258483,0.000281684,0.000703767,0.00249602
1,0.8,4,20.0996,-19.6462,-2.04043,-7.49621,-0.0052,0.02475,0.087,3.669,-14.7141,-0.000187378,0.00182904,0.0586819,0.00310351,-0.0496892,0.00272531,-0.00224539,-0.0298865,0.0284833,-0.00242593,0.00142671,-0.0028209,0.0066329,-0.00321443,-0.00650214,0.00499882,-0.000125348,-0.00139537,-0.00216961,0.0033172,0.0083197,-0.00431006,0.00228398,0.00340084,0.00203867,-0.00560867,-0.00201965,0.00117897,0.00593186,-0.0040189,0.00143434,0.0027765,0.00441895,-0.000938559,0.00181495,-0.00654908,-0.00387633,0.00220537,0.000288681,-0.000834169,-0.00146567,0.00107713,0.000428936,0.00172066
1,0.8,5,20.1106,21.4777,-2.02936,33.6277,-0.00522,-0.0981,0.105,1.436,2.47817,-0.000282998,0.0015928,0.0953964,0.0103567,-0.0375456,0.00917133,-0.0013166,-0.0240783,0.0266861,-0.00147825,-0.00177349,-0.00172941,0.0110124,-0.00808632,-0.00771019,0.00311508,-0.000814611,-0.00142869,-0.000308644,0.00144336,0.00908792,-0.00454795,0.00395963,0.00637771,0.00063367,-0.00620655,-0.00164086,-0.0015893,0.00625963,-0.00246617,0.00159566,0.00267169,0.0040579,0.00168679,0.00267873,-0.00844595,-0.00315212,0.00232983,-0.000261214,-0.00164611,-0.000329998,0.00229702,-0.000572607,0.00181616
