sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45
1,0.48,1,-0.264075,-0.176268,-22.4041,11.9737,-0.06784,-0.03653,0.086,2.803,-0.765655,-0.000494081,0.00119237,-0.00231223,-0.00490106,-0.015567,0.0525933,-0.00633236,-0.0158745,0.0274994,-0.0135697,0.00653773,-0.000759179,-0.010562,-0.0181985,-0.00878999,0.00042794,-0.0026386,-0.000192482,-0.00353123,0.00408228,0.0195691,-0.00273318,0.00184907,0.0118897,0.010426,-0.00713277,-0.00443883,-0.00412123,0.0079257,-0.00383626,0.00185246,0.00328768,0.00650848,0.00199135,0.00287112,-0.0152729,-0.00155788,0.00237467,-0.00600705,-0.00557669,0.000260765,0.00192048,-0.00459023,0.00449337
1,0.48,2,-20.6907,20.268,-42.8307,32.418,-0.13072,-0.09842,0.092,1.128,-0.63183,-0.00100318,0.00101838,0.0375272,0.00661245,-0.00615204,0.053762,-0.0262929,-0.019306,0.0275513,-0.00934733,0.00962044,-0.000867475,-0.00666523,-0.0164986,-0.00600329,-0.0015244,0.00124827,0.00299399,-0.00581042,0.0100917,0.0166744,-0.00448053,0.000447448,0.0106308,0.00795356,-0.0109348,-0.000083,0.000603586,0.00641737,-0.00607834,-0.000320357,0.000305254,0.00260598,-0.00238186,0.00453822,-0.0137568,-0.00194675,0.00271015,-0.00388974,-0.00338127,-0.00223227,0.00294687,-0.00205374,0.00268924
1,0.48,3,-20.7068,-20.6097,-42.8468,-8.4597,-0.13003,0.02435,0.101,10.812,-45.5502,-0.000770405,0.000519393,-0.0341997,-0.0124727,-0.0209838,0.0443876,-0.0144377,-0.0191441,0.0354617,-0.0208835,0.0148102,0.000994685,-0.0105004,-0.019333,-0.00875715,0.00626361,0.00296317,0.00341775,-0.004275,0.00633814,0.021352,-0.00361328,0.000779855,0.0139622,0.0102704,-0.00852231,-0.00453956,-0.00420525,0.00652557,-0.00776427,-0.000218509,0.00557196,0.00505446,-0.00281481,0.00348527,-0.0152715,-0.00501846,0.00313375,-0.00293286,-0.00220876,0.00070894,0.00020119,-0.00174938,0.00365444
1,0.48,4,20.1611,-20.6205,-1.97887,-8.47045,-0.0052,0.02475,0.098,5.037,-20.6794,0.000003,0.000772467,-0.0349002,-0.00668518,-0.0321648,0.0471833,0.00427609,-0.0256758,0.0278924,-0.0138977,0.0163265,0.00179369,-0.014372,-0.00988525,-0.00829168,0.00391536,0.000465159,-0.000436141,-0.00488052,0.00669446,0.0163994,-0.0058073,-0.0010984,0.00860585,0.0105904,-0.00900096,-0.00223561,0.000556616,0.00767489,-0.00527156,-0.000782099,0.00347574,0.00508186,-0.00127379,0.00206015,-0.0128949,-0.00254124,0.00363026,-0.00418628,-0.00256575,-0.00122951,0.00150625,-0.00115954,0.0028205
1,0.48,5,20.1782,20.2529,-1.96177,32.4029,-0.00522,-0.0981,0.094,0.95,-2.10163,-0.000269441,0.00177056,0.0453246,-0.000971844,-0.0143681,0.0601009,0.00526701,-0.014225,0.025686,-0.0102908,0.00979716,0.00312223,-0.00741337,-0.0187671,-0.0106254,0.000650907,-0.000782917,0.00075377,-0.00123769,0.00268386,0.0183855,-0.00679932,0.00102187,0.0137124,0.00785138,-0.0101351,-0.00158769,-0.00288713,0.00799886,-0.00450132,-0.000421802,0.00419137,0.00407829,0.00254264,0.00345445,-0.0158654,-0.00132131,0.00364759,-0.00541574,-0.00361013,0.00103145,0.00315362,-0.00314695,0.00296959
1,0.62,1,-0.264623,-0.176007,-22.4046,11.974,-0.06784,-0.03653,0.067,2.17,-0.60058,-0.000377168,0.000886953,-0.00436516,-0.00375271,-0.012027,0.0407522,-0.00492203,-0.0122815,0.0212781,-0.0104084,0.00501524,-0.000585061,-0.00813335,-0.0140867,-0.00680314,0.000333963,-0.0020444,-0.000155148,-0.0027316,0.00315856,0.0151531,-0.00211987,0.00142432,0.00920657,0.00806836,-0.00552215,-0.0034365,-0.00318993,0.00613695,-0.00297528,0.00143523,0.00254528,0.00503882,0.00154171,0.00222281,-0.011826,-0.00120297,0.00184237,-0.00465059,-0.00431743,0.000201885,0.00148683,-0.00355374,0.00347874
1,0.62,2,-20.6917,20.2687,-42.8317,32.4187,-0.13072,-0.09842,0.07,0.873,-0.497822,-0.000767042,0.000756578,0.0264849,0.00507318,-0.00475576,0.0416255,-0.0204023,-0.0149339,0.0213186,-0.00714141,0.00740344,-0.000668063,-0.00511782,-0.0127698,-0.00464546,-0.00117777,0.000965137,0.00231183,-0.00449552,0.00781135,0.0129119,-0.00347228,0.000339546,0.00823224,0.00615371,-0.00846572,-0.000064,0.000468014,0.0049687,-0.00471167,-0.000246934,0.0002363,0.00201755,-0.00184403,0.00351348,-0.0106522,-0.0015041,0.00210201,-0.00301137,-0.00261777,-0.00172819,0.00228144,-0.00158998,0.00208198
1,0.62,3,-20.7078,-20.6099,-42.8478,-8.45991,-0.13003,0.02435,0.079,8.369,-35.2722,-0.000573039,0.000355574,-0.029234,-0.00959746,-0.0162393,0.0344132,-0.0111717,-0.0148609,0.0274678,-0.0159921,0.0114673,0.000732637,-0.00807353,-0.0150255,-0.00672788,0.00483508,0.0023218,0.00258963,-0.00331707,0.00484935,0.0165571,-0.00284384,0.000648764,0.0107439,0.00795981,-0.00665543,-0.00354923,-0.00327877,0.0051195,-0.0060694,-0.000138125,0.00425523,0.00390236,-0.00221555,0.00265272,-0.0117484,-0.00382425,0.00238259,-0.00225882,-0.00177946,0.000512989,0.000097,-0.00141919,0.00280908
1,0.62,4,20.161,-20.6207,-1.97895,-8.47066,-0.0052,0.02475,0.077,3.898,-16.0169,0.000004,0.000556263,-0.029688,-0.00510822,-0.0248616,0.0365952,0.00331741,-0.0198743,0.021582,-0.0106597,0.0125916,0.00139082,-0.0110815,-0.00765158,-0.00641769,0.00303399,0.000358242,-0.000344061,-0.00377667,0.00518065,0.0126991,-0.00450006,-0.00085785,0.00666396,0.00819595,-0.0069685,-0.0017308,0.000431395,0.00594316,-0.00408597,-0.000604389,0.00269088,0.00393434,-0.000986137,0.00159497,-0.00998526,-0.00196419,0.00281456,-0.00324103,-0.00198641,-0.00095187,0.00116612,-0.000897734,0.00218361
1,0.62,5,20.1781,20.2536,-1.96185,32.4036,-0.00522,-0.0981,0.072,0.732,-1.63585,-0.000207025,0.00133949,0.0326235,-0.000698654,-0.0110427,0.0465335,0.00408393,-0.0109993,0.0198738,-0.00787222,0.00754051,0.00241906,-0.00569672,-0.0145279,-0.00822457,0.000506404,-0.000608314,0.000577942,-0.000956364,0.0020765,0.0142367,-0.00526833,0.000784511,0.0106172,0.00607494,-0.00784652,-0.00122916,-0.00223366,0.00619329,-0.00348988,-0.00032484,0.00324492,0.00315737,0.00196849,0.00267442,-0.0122847,-0.00102001,0.00282771,-0.00419281,-0.00279492,0.000798546,0.00244151,-0.00243634,0.00229904
1,0.76,1,-0.26493,-0.175861,-22.4049,11.9741,-0.06784,-0.03653,0.055,1.77,-0.493405,-0.000305322,0.000707571,-0.00470302,-0.00304265,-0.00980023,0.0332609,-0.00402419,-0.0100152,0.0173531,-0.00844703,0.00407047,-0.000476091,-0.00661526,-0.0114907,-0.00554902,0.00027363,-0.00166854,-0.000129338,-0.00222742,0.00257579,0.012363,-0.00173107,0.00115868,0.00751139,0.00658053,-0.00450487,-0.00280349,-0.00260205,0.00500684,-0.00242961,0.00117138,0.00207643,0.00411062,0.00125769,0.00181342,-0.00964831,-0.000979952,0.00150482,-0.00379396,-0.00352212,0.000164705,0.0012129,-0.00289915,0.00283789
1,0.76,2,-20.6923,20.2691,-42.8323,32.4191,-0.13072,-0.09842,0.057,0.712,-0.40996,-0.0006215,0.00060312,0.0204672,0.00411771,-0.00387651,0.0339591,-0.0166651,-0.0121772,0.0173863,-0.0057828,0.00601945,-0.000543392,-0.00415589,-0.010416,-0.00378868,-0.000959712,0.000786777,0.00188323,-0.00366609,0.00637168,0.0105347,-0.00283422,0.000273897,0.00671668,0.00501836,-0.00690626,-0.000052,0.000382127,0.0040536,-0.00384637,-0.000200954,0.000192771,0.00164589,-0.00150434,0.00286628,-0.00869083,-0.00122565,0.00171653,-0.00245663,-0.00213555,-0.00140985,0.00186117,-0.00129709,0.00169846
1,0.76,3,-20.7084,-20.61,-42.8484,-8.46002,-0.13003,0.02435,0.065,6.826,-28.778,-0.000462093,0.00027089,-0.0250788,-0.00778812,-0.0132631,0.028104,-0.00913433,-0.012122,0.0224028,-0.0130008,0.00933293,0.000599306,-0.00656591,-0.012256,-0.00548731,0.00394561,0.00189363,0.00210942,-0.00270488,0.00395488,0.0135083,-0.00232137,0.000525769,0.00876582,0.00649207,-0.00542944,-0.00289543,-0.0026749,0.004177,-0.00495389,-0.000112496,0.00347137,0.00318348,-0.00180742,0.00216406,-0.00958504,-0.00311822,0.00194556,-0.00184269,-0.00145167,0.000418499,0.000079,-0.00115776,0.00229162
