sca,wavelength,field_point,local_x,local_y,global_x,global_y,axis_local_angle_x,axis_local_angle_y,wfe_rms_waves,wfe_pv_waves,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22,Z23,Z24,Z25,Z26,Z27,Z28,Z29,Z30,Z31,Z32,Z33,Z34,Z35,Z36,Z37,Z38,Z39,Z40,Z41,Z42,Z43,Z44,Z45
1,1.131,1,-0.263669,-0.174414,-22.4037,11.9756,-0.06784,-0.03653,0.034,1.203,-0.318444,-0.000247974,0.000743091,0.00407209,0.0048773,0.000678443,0.0213088,-0.00354146,-0.00440043,0.00813763,-0.000103101,-0.00135477,-0.000910504,-0.00241328,-0.0074862,-0.00374432,0.00016933,-0.00113218,0.000056,-0.00161392,0.00160001,0.00825868,-0.00120096,0.000791663,0.00506396,0.0044658,-0.00302802,-0.00188413,-0.00128421,0.00332232,-0.00145887,0.000810813,0.00139598,0.00276192,0.000845374,0.00121808,-0.00639875,-0.000708921,0.000963723,-0.00254986,-0.00236616,0.000110656,0.000815175,-0.00194828,0.00190703
1,1.131,2,-20.6914,20.271,-42.8314,32.421,-0.13072,-0.09842,0.04,0.485,-0.275725,-0.000501229,0.000621442,0.0209098,0.00950628,0.00485976,0.0212267,-0.0121779,-0.00554198,0.00823739,0.00156972,0.000024,-0.000983574,-0.00077085,-0.00680214,-0.00253583,-0.000658491,0.000494581,0.00140012,-0.00257691,0.00415711,0.00697472,-0.00199241,0.000221164,0.00451206,0.00342722,-0.00464249,-0.000035,0.000700001,0.00268199,-0.00240464,-0.000113384,0.000130854,0.00110456,-0.00101077,0.00192558,-0.00576063,-0.000877234,0.00110641,-0.00165172,-0.00143382,-0.000947502,0.00125087,-0.000871699,0.0011414
1,1.131,3,-20.7075,-20.609,-42.8475,-8.459,-0.13003,0.02435,0.037,4.601,-19.2871,-0.000416772,0.000544584,-0.00915072,0.00164131,-0.00144396,0.0185158,-0.00724413,-0.00601068,0.0116327,-0.00294285,0.00205274,-0.000289677,-0.00235596,-0.00797659,-0.0037108,0.00268781,0.00126581,0.00159924,-0.00193284,0.00251853,0.0090947,-0.00166787,0.000334915,0.00589473,0.00439103,-0.00364976,-0.00194707,-0.00128917,0.00275445,-0.00314458,-0.000039,0.00233375,0.00214004,-0.00121458,0.00145367,-0.00635801,-0.00215074,0.0012622,-0.00123828,-0.000974177,0.000281182,0.000053,-0.000778166,0.00153983
1,1.131,4,20.1627,-20.6197,-1.97732,-8.46975,-0.0052,0.02475,0.035,2.134,-8.74928,-0.000009,0.000651643,-0.00962919,0.00438083,-0.00661551,0.0196133,0.00112662,-0.00885456,0.00819776,-0.000069,0.0026912,0.000203577,-0.00399797,-0.00392285,-0.00354617,0.00167491,0.000201241,-0.000027,-0.00219546,0.00270038,0.00697424,-0.00245814,-0.000486392,0.00368712,0.00452645,-0.00381989,-0.000949366,0.000730271,0.00321954,-0.0020703,-0.000306449,0.00147514,0.00215651,-0.000540615,0.000874018,-0.00538232,-0.0011235,0.00149572,-0.00177648,-0.00108874,-0.000521718,0.00063934,-0.000492171,0.00119708
1,1.131,5,20.1798,20.2559,-1.96019,32.4059,-0.00522,-0.0981,0.04,0.423,-0.915972,-0.000109737,0.000940509,0.0240529,0.00655978,0.000991425,0.0238508,0.00163593,-0.00347097,0.0072681,0.00113106,0.000117061,0.000803959,-0.00109125,-0.00774601,-0.00452898,0.000241869,-0.000337783,0.000432398,-0.000640823,0.00101418,0.00770021,-0.00286766,0.00046695,0.00584891,0.00338592,-0.00430228,-0.000673112,-0.000795931,0.00336316,-0.001749,-0.000162997,0.00177882,0.00173035,0.0010792,0.00146579,-0.00664762,-0.000604777,0.00150102,-0.00229946,-0.00153198,0.000437789,0.00133847,-0.00133564,0.00126041
1,1.293,1,-0.263844,-0.174336,-22.4038,11.9757,-0.06784,-0.03653,0.029,1.053,-0.279678,-0.00021601,0.000644015,0.00317644,0.00424759,0.000571076,0.0186479,-0.00309765,-0.00385618,0.00712895,-0.000096,-0.00117721,-0.000793917,-0.00211174,-0.00654874,-0.00327484,0.000148557,-0.000990525,0.000048,-0.00141096,0.00139973,0.00722454,-0.00105093,0.000691364,0.00442969,0.00390561,-0.00264864,-0.00164807,-0.00112487,0.00290635,-0.00127749,0.000709302,0.00122108,0.00241587,0.000739454,0.00106547,-0.00559763,-0.000619455,0.000843723,-0.00223038,-0.0020697,0.000097,0.000713041,-0.00170418,0.0016681
1,1.293,2,-20.6918,20.2712,-42.8318,32.4212,-0.13072,-0.09842,0.035,0.424,-0.242388,-0.000436807,0.000538389,0.0179058,0.00828426,0.00422516,0.0185734,-0.0106555,-0.0048552,0.00721598,0.00136757,0.000029,-0.000857606,-0.000675252,-0.00595011,-0.00221781,-0.000575582,0.000432548,0.00122332,-0.00225322,0.00363648,0.00610163,-0.00174298,0.000192306,0.00394704,0.00299705,-0.00406084,-0.000031,0.000610817,0.00234618,-0.00210487,-0.000099,0.00011445,0.000966174,-0.000884131,0.00168433,-0.00503943,-0.00076668,0.000968523,-0.00144476,-0.00125419,-0.000828787,0.00109415,-0.000762482,0.000998392
1,1.293,3,-20.7079,-20.6091,-42.8479,-8.45907,-0.13003,0.02435,0.032,4.024,-16.8718,-0.000362484,0.000469032,-0.00842022,0.0014246,-0.00129479,0.016207,-0.00633928,-0.0052648,0.0101858,-0.00258007,0.00180348,-0.00025037,-0.00206149,-0.00697761,-0.00324538,0.00235132,0.00110708,0.0013972,-0.00168987,0.00220309,0.00795557,-0.00145897,0.000291877,0.00515651,0.0038403,-0.00319246,-0.0017031,-0.00112949,0.00240972,-0.0027521,-0.000035,0.00204136,0.00187191,-0.0010624,0.00127153,-0.00556197,-0.00188057,0.00110483,-0.00108311,-0.000852116,0.000245951,0.000047,-0.000680669,0.0013469
1,1.293,4,20.1627,-20.6198,-1.97735,-8.46981,-0.0052,0.02475,0.031,1.867,-7.65416,-0.000008,0.000562915,-0.00882277,0.00381628,-0.0058058,0.0171674,0.000988972,-0.00775194,0.00718187,-0.000066,0.00236192,0.000180393,-0.00349777,-0.0034321,-0.00310152,0.00146543,0.000175729,-0.000025,-0.00191967,0.00236222,0.00610081,-0.0021508,-0.000426508,0.00322526,0.00395876,-0.0033413,-0.000830419,0.000637076,0.00281649,-0.00181222,-0.000267977,0.00129032,0.00188632,-0.000472884,0.00076452,-0.00470861,-0.000982092,0.00130909,-0.00155391,-0.000952337,-0.000456351,0.000559238,-0.00043051,0.0010471
1,1.293,5,20.1798,20.2561,-1.96022,32.4061,-0.00522,-0.0981,0.035,0.369,-0.802377,-0.000096,0.000817568,0.0206711,0.00572102,0.000854042,0.020869,0.00143406,-0.00304323,0.00636866,0.000983941,0.000110174,0.000705378,-0.000955457,-0.00677607,-0.00396124,0.000212064,-0.000295772,0.00037697,-0.000559841,0.000887358,0.00673624,-0.00250909,0.000407329,0.00511616,0.00296097,-0.00376325,-0.000588776,-0.000697516,0.002942,-0.0015312,-0.000142374,0.00155595,0.00151355,0.000943989,0.00128214,-0.00581533,-0.000528404,0.00131369,-0.00201135,-0.00134004,0.000382938,0.00117078,-0.0011683,0.0011025
